model,seed,loss,da,mae,mape,runtime
LSTM,42,dir_aware,50.476190476190474,2.93781393299784,4.121201155336855,30.52699613571167
GRU,42,dir_aware,53.333333333333336,2.9373033372220547,4.12135879487227,45.083277463912964
BiGRU,42,dir_aware,49.523809523809526,2.936543809640976,4.120605039592832,64.38427567481995
MLP,42,dir_aware,50.476190476190474,2.9380512342112417,4.122057948116754,2.236462116241455
CNN-1D,42,dir_aware,51.42857142857142,2.936560471267928,4.1195763118912865,2.8887827396392822
Transformer,42,dir_aware,53.333333333333336,2.9334791899295083,4.115232942452532,39.370328426361084
LSTM+Attention,42,dir_aware,50.476190476190474,2.937611825290182,4.120854598288755,23.82435154914856
GRU+Attention,42,dir_aware,49.523809523809526,2.9391004783426022,4.124775649064313,43.150572299957275
XGBoost,42,MSE_native,59.04761904761905,3.161028464300292,4.496726467912223,0.22667384147644043
GradientBoosting,42,MSE_native,58.0952380952381,3.5688160366073016,5.078077879362792,0.752960205078125
RandomForest,42,MSE_native,59.04761904761905,3.1966929591696216,4.532041621235467,3.440380334854126
SVR,42,MSE_native,65.71428571428571,2.697914460003218,3.7990107678662377,0.036524295806884766
Ridge,42,MSE_native,47.61904761904761,3.6315348792587017,5.139410034239447,0.010771751403808594
Lasso,42,MSE_native,51.42857142857142,2.970674736227309,4.197169567309814,0.5527634620666504
LinearRegression,42,MSE_native,45.714285714285715,3.8009445583877115,5.374239164900276,0.01652073860168457
KNN,42,MSE_native,55.23809523809524,3.5449114999771116,4.956029826199476,0.008794069290161133
HMM-MoE,42,dir_aware,61.904761904761905,2.7907971081279586,3.9459881409099213,614.6783306598663
LSTM,123,dir_aware,50.476190476190474,2.937480550862495,4.120916665360419,24.278611421585083
GRU,123,dir_aware,53.333333333333336,2.9361933889843175,4.117786592554536,22.40497875213623
BiGRU,123,dir_aware,54.285714285714285,2.9299484858285822,4.115291401176342,37.552950859069824
MLP,123,dir_aware,50.476190476190474,2.9378617228156054,4.12162063761404,2.295978307723999
CNN-1D,123,dir_aware,49.523809523809526,2.940799242530551,4.129358990419216,3.48264217376709
Transformer,123,dir_aware,51.42857142857142,2.9379452206691115,4.121941427301887,96.50500583648682
LSTM+Attention,123,dir_aware,49.523809523809526,2.938410188924699,4.123016902180556,28.725517749786377
GRU+Attention,123,dir_aware,53.333333333333336,2.9372834103220993,4.121506721564514,19.785218238830566
XGBoost,123,MSE_native,59.04761904761905,3.161028464300292,4.496726467912223,0.22898602485656738
GradientBoosting,123,MSE_native,58.0952380952381,3.575745640361277,5.098033218655662,0.7289161682128906
RandomForest,123,MSE_native,61.904761904761905,3.2018145839690675,4.556054437698821,3.579014301300049
SVR,123,MSE_native,65.71428571428571,2.697914460003218,3.7990107678662377,0.03499937057495117
Ridge,123,MSE_native,47.61904761904761,3.6315348792587017,5.139410034239447,0.0033321380615234375
Lasso,123,MSE_native,51.42857142857142,2.970674736227309,4.197169567309814,0.0019860267639160156
LinearRegression,123,MSE_native,45.714285714285715,3.8009445583877115,5.374239164900276,0.009980916976928711
KNN,123,MSE_native,55.23809523809524,3.5449114999771116,4.956029826199476,0.005003452301025391
HMM-MoE,123,dir_aware,62.857142857142854,2.79624606704712,3.95051310557259,363.56479692459106
LSTM,2024,dir_aware,53.333333333333336,2.9360750863097964,4.119836627237928,23.541398525238037
GRU,2024,dir_aware,53.333333333333336,2.936333778744652,4.1204792997621915,48.25049448013306
BiGRU,2024,dir_aware,51.42857142857142,2.934638145287833,4.118114310417731,50.35102033615112
MLP,2024,dir_aware,50.476190476190474,2.937785175573259,4.121552063308271,1.0126636028289795
CNN-1D,2024,dir_aware,49.523809523809526,2.9409820186751237,4.1290318104400985,4.633782863616943
Transformer,2024,dir_aware,51.42857142857142,2.937234899231367,4.120796634647146,45.28886938095093
LSTM+Attention,2024,dir_aware,50.476190476190474,2.9381396724326287,4.122500287933572,28.781020641326904
GRU+Attention,2024,dir_aware,50.476190476190474,2.9377110727514553,4.121315969030551,49.82154965400696
XGBoost,2024,MSE_native,59.04761904761905,3.161028464300292,4.496726467912223,0.22355365753173828
GradientBoosting,2024,MSE_native,59.04761904761905,3.7091518064774847,5.3044474296484765,0.5291199684143066
RandomForest,2024,MSE_native,55.23809523809524,3.1636551252752074,4.494203465728888,2.329345226287842
SVR,2024,MSE_native,65.71428571428571,2.697914460003218,3.7990107678662377,0.02200031280517578
Ridge,2024,MSE_native,47.61904761904761,3.6315348792587017,5.139410034239447,0.0030002593994140625
Lasso,2024,MSE_native,51.42857142857142,2.970674736227309,4.197169567309814,0.0019989013671875
LinearRegression,2024,MSE_native,45.714285714285715,3.8009445583877115,5.374239164900276,0.010370254516601562
KNN,2024,MSE_native,55.23809523809524,3.5449114999771116,4.956029826199476,0.004504203796386719
HMM-MoE,2024,dir_aware,60.952380952380956,2.6743973454577583,3.787597600644193,544.2811551094055
