model,seed,loss,da,mae,mape,runtime
HMM-MoE,42,dir_aware,67.61904761904762,2.688901329068911,3.8285457681295454,680.5388267040253
LSTM,42,dir_aware,50.476190476190474,2.93781393299784,4.121201155336855,29.933188438415527
GRU,42,dir_aware,53.333333333333336,2.9373033372220547,4.12135879487227,44.270652294158936
Transformer,42,dir_aware,53.333333333333336,2.9334791899295083,4.115232942452532,38.81979441642761
MLP,42,dir_aware,50.476190476190474,2.9380512342112417,4.122057948116754,2.0514261722564697
CNN-1D,42,dir_aware,51.42857142857142,2.936560471267928,4.1195763118912865,2.7545065879821777
XGBoost,42,MSE_native,59.04761904761905,3.161028464300292,4.496726467912223,0.3079075813293457
GradBoost,42,MSE_native,58.0952380952381,3.5688160366073016,5.078077879362792,0.6670372486114502
RandomForest,42,MSE_native,59.04761904761905,3.1966929591696216,4.532041621235467,2.281975030899048
SVR,42,MSE_native,65.71428571428571,2.697914460003218,3.7990107678662377,0.046822547912597656
Ridge,42,MSE_native,47.61904761904761,3.6315348792587017,5.139410034239447,0.011567831039428711
Lasso,42,MSE_native,51.42857142857142,2.970674736227309,4.197169567309814,0.04059576988220215
LinearReg,42,MSE_native,45.714285714285715,3.8009445583877115,5.374239164900276,0.016005516052246094
KNN,42,MSE_native,55.23809523809524,3.5449114999771116,4.956029826199476,0.008085012435913086
HMM-MoE,123,dir_aware,67.61904761904762,2.941168189974059,4.2089357363522355,502.40474343299866
LSTM,123,dir_aware,50.476190476190474,2.937480550862495,4.120916665360419,24.800576210021973
GRU,123,dir_aware,53.333333333333336,2.9361933889843175,4.117786592554536,22.991357564926147
Transformer,123,dir_aware,51.42857142857142,2.9379452206691115,4.121941427301887,95.7610969543457
MLP,123,dir_aware,50.476190476190474,2.9378617228156054,4.12162063761404,2.183180093765259
CNN-1D,123,dir_aware,49.523809523809526,2.940799242530551,4.129358990419216,3.317986488342285
XGBoost,123,MSE_native,59.04761904761905,3.161028464300292,4.496726467912223,0.2633688449859619
GradBoost,123,MSE_native,58.0952380952381,3.575745640361277,5.098033218655662,0.7219481468200684
RandomForest,123,MSE_native,61.904761904761905,3.2018145839690675,4.556054437698821,2.3844070434570312
SVR,123,MSE_native,65.71428571428571,2.697914460003218,3.7990107678662377,0.02298879623413086
Ridge,123,MSE_native,47.61904761904761,3.6315348792587017,5.139410034239447,0.0020003318786621094
Lasso,123,MSE_native,51.42857142857142,2.970674736227309,4.197169567309814,0.0026526451110839844
LinearReg,123,MSE_native,45.714285714285715,3.8009445583877115,5.374239164900276,0.009999513626098633
KNN,123,MSE_native,55.23809523809524,3.5449114999771116,4.956029826199476,0.002999544143676758
HMM-MoE,2024,dir_aware,62.857142857142854,2.8554563245603015,4.095947843539262,484.13606548309326
LSTM,2024,dir_aware,53.333333333333336,2.9360750863097964,4.119836627237928,23.50736117362976
GRU,2024,dir_aware,53.333333333333336,2.936333778744652,4.1204792997621915,49.323583364486694
Transformer,2024,dir_aware,51.42857142857142,2.937234899231367,4.120796634647146,45.66285681724548
MLP,2024,dir_aware,50.476190476190474,2.937785175573259,4.121552063308271,0.9973499774932861
CNN-1D,2024,dir_aware,49.523809523809526,2.9409820186751237,4.1290318104400985,4.812428712844849
XGBoost,2024,MSE_native,59.04761904761905,3.161028464300292,4.496726467912223,0.26770496368408203
GradBoost,2024,MSE_native,59.04761904761905,3.7091518064774847,5.3044474296484765,0.5742442607879639
RandomForest,2024,MSE_native,55.23809523809524,3.1636551252752074,4.494203465728888,2.3167736530303955
SVR,2024,MSE_native,65.71428571428571,2.697914460003218,3.7990107678662377,0.023650407791137695
Ridge,2024,MSE_native,47.61904761904761,3.6315348792587017,5.139410034239447,0.002000570297241211
Lasso,2024,MSE_native,51.42857142857142,2.970674736227309,4.197169567309814,0.001999378204345703
LinearReg,2024,MSE_native,45.714285714285715,3.8009445583877115,5.374239164900276,0.008839607238769531
KNN,2024,MSE_native,55.23809523809524,3.5449114999771116,4.956029826199476,0.00400543212890625
