label,da,mae,mape,param,value,runtime
lambda=0,64.76190476190476,3.035177251821473,4.300189459109582,lambda,0.0,633.0398571491241
lambda=0.5,66.66666666666666,2.7404419738905768,3.9004556739889775,lambda,0.5,508.9725377559662
lambda=1.0,67.61904761904762,2.688901329068911,3.8285457681295454,lambda,1.0,497.4367878437042
lambda=2.0,66.66666666666666,2.675114595958165,3.809838268423127,lambda,2.0,510.2471981048584
lambda=5.0,64.76190476190476,2.6877476976315187,3.833776273514521,lambda,5.0,456.1134488582611
experts=2,60.952380952380956,2.7222905445553014,3.863848024251563,n_experts,2.0,534.3604831695557
experts=3,67.61904761904762,2.688901329068911,3.8285457681295454,n_experts,3.0,548.1159794330597
experts=4,64.76190476190476,2.868543241801717,4.043838632234404,n_experts,4.0,627.2003846168518
experts=5,61.904761904761905,3.047434590725673,4.341702248774807,n_experts,5.0,446.6817514896393
lookback=26,62.96296296296296,2.7526183116767147,3.894568568168861,lookback,26.0,192.57901215553284
lookback=39,64.15094339622641,2.721015443357658,3.8467515982074256,lookback,39.0,246.6358208656311
lookback=52,67.61904761904762,2.688901329068911,3.8285457681295454,lookback,52.0,509.84102869033813
lookback=78,68.93203883495146,2.7701153671336405,3.939222461043109,lookback,78.0,1279.1806819438934
